Detecting Obfuscated Command Samples1 (Win10)...
0% 1% 2% 4% 5% 7% 8% 10% 11% 13% 14% 16% 17% 19% 20% 22% 23% 25% 26% 28% 29% 31% 32% 34% 35% 37% 38% 40% 41% 43% 44% 46% 47% 49% 50% 51% 53% 54% 56% 57% 59% 60% 62% 63% 65% 66% 68% 69% 71% 72% 74% 75% 77% 78% 80% 81% 83% 84% 86% 87% 89% 90% 92% 93% 95% 96% 98% 99% 
Point5, AvgUnknownCharCount:2.699367, maxAvgAcc: 0.9272151898734177, unknownOfCommandAvg: 0.09204538461756771, unknownOfArgumentAvg: 0.2119295893137382
0% 1% 2% 4% 5% 7% 8% 10% 11% 13% 14% 16% 17% 19% 20% 22% 23% 25% 26% 27% 29% 30% 32% 33% 35% 36% 38% 39% 41% 42% 44% 45% 47% 48% 50% 51% 52% 54% 55% 57% 58% 60% 61% 63% 64% 66% 67% 69% 70% 72% 73% 75% 76% 77% 79% 80% 82% 83% 85% 86% 88% 89% 91% 92% 94% 95% 97% 98% 
0% 31% 62% 93% 
threshold: 0.0, tpr:1.0, fpr: 1.0, acc:0.4454828660436137
threshold: 0.05, tpr:1.0, fpr: 0.9775280898876404, acc:0.45794392523364486
threshold: 0.1, tpr:1.0, fpr: 0.9606741573033708, acc:0.4672897196261682
threshold: 0.15000000000000002, tpr:1.0, fpr: 0.8370786516853933, acc:0.5358255451713395
threshold: 0.2, tpr:1.0, fpr: 0.5730337078651685, acc:0.6822429906542056
threshold: 0.25, tpr:1.0, fpr: 0.5617977528089888, acc:0.6884735202492211
threshold: 0.3, tpr:1.0, fpr: 0.43820224719101125, acc:0.7570093457943925
threshold: 0.35, tpr:1.0, fpr: 0.25842696629213485, acc:0.8566978193146417
threshold: 0.39999999999999997, tpr:1.0, fpr: 0.1853932584269663, acc:0.897196261682243
threshold: 0.44999999999999996, tpr:0.972027972027972, fpr: 0.11235955056179775, acc:0.9252336448598131
threshold: 0.49999999999999994, tpr:0.965034965034965, fpr: 0.11235955056179775, acc:0.9221183800623053
threshold: 0.5499999999999999, tpr:0.7902097902097902, fpr: 0.011235955056179775, acc:0.9003115264797508
threshold: 0.6, tpr:0.7412587412587412, fpr: 0.011235955056179775, acc:0.8785046728971962
threshold: 0.65, tpr:0.5454545454545454, fpr: 0.011235955056179775, acc:0.7912772585669782
threshold: 0.7000000000000001, tpr:0.40559440559440557, fpr: 0.0, acc:0.735202492211838
threshold: 0.7500000000000001, tpr:0.3146853146853147, fpr: 0.0, acc:0.6947040498442367
threshold: 0.8000000000000002, tpr:0.2727272727272727, fpr: 0.0, acc:0.67601246105919
threshold: 0.8500000000000002, tpr:0.23776223776223776, fpr: 0.0, acc:0.660436137071651
threshold: 0.9000000000000002, tpr:0.18181818181818182, fpr: 0.0, acc:0.6355140186915887
threshold: 0.9500000000000003, tpr:0.16783216783216784, fpr: 0.0, acc:0.6292834890965732
threshold: 1.0000000000000002, tpr:0.0, fpr: 0.0, acc:0.5545171339563862
Point6, AvgUnknownCharCount:3.165109, maxAvgAcc: 0.9252336448598131, unknownOfCommandAvg: 0.10539256617217722, unknownOfArgumentAvg: 0.23661824582676472
0% 1% 2% 4% 5% 7% 8% 10% 11% 13% 14% 16% 17% 19% 20% 22% 23% 25% 26% 27% 29% 30% 32% 33% 35% 36% 38% 39% 41% 42% 44% 45% 47% 48% 50% 51% 52% 54% 55% 57% 58% 60% 61% 63% 64% 66% 67% 69% 70% 72% 73% 75% 76% 77% 79% 80% 82% 83% 85% 86% 88% 89% 91% 92% 94% 95% 97% 98% 
0% 30% 61% 91% 
threshold: 0.0, tpr:1.0, fpr: 1.0, acc:0.44954128440366975
